Negative,Neutral,Positive,company_name,year
0.013419458642601967,0.8655508160591125,0.12102973461151123,A,2021.0
0.028676988556981087,0.9313861131668091,0.03993692621588707,A,2022.0
0.010243767872452736,0.15510942041873932,0.8346468210220337,AA,2021.0
0.020141707733273506,0.2287125438451767,0.7511456608772278,AA,2022.0
0.02284529060125351,0.5936208963394165,0.38353386521339417,AA,2023.0
0.028029659762978554,0.9338418841362,0.038128532469272614,AACG,2022.0
0.01322946883738041,0.9054502248764038,0.08132028579711914,AADI,2022.0
0.011047030799090862,0.38476866483688354,0.6041842699050903,AAIC,2022.0
0.022947169840335846,0.9460830688476562,0.030969759449362755,AAL,2022.0
0.03248666599392891,0.9406653642654419,0.026848016306757927,AAN,2022.0
0.03959641233086586,0.913885772228241,0.04651782661676407,AAN,2023.0
0.02897007390856743,0.9409568905830383,0.030073052272200584,AAOI,2022.0
0.022378459572792053,0.7736806273460388,0.20394091308116913,AAON,2022.0
0.016936926171183586,0.7596089839935303,0.2234540581703186,AAP,2022.0
0.01915845274925232,0.8672803640365601,0.1135612204670906,AAP,2023.0
0.027455255389213562,0.26098576188087463,0.7115589380264282,AAPL,2022.0
0.38258859515190125,0.5313716530799866,0.08603977411985397,AAPL,2023.0
0.012792117893695831,0.06319250166416168,0.9240154027938843,AAT,2022.0
0.009842867963016033,0.2193611115217209,0.7707960605621338,AAT,2023.0
0.01666295900940895,0.9189233779907227,0.0644136592745781,AAWW,2022.0
0.012281499803066254,0.761985719203949,0.22573280334472656,AB,2022.0
0.8452503681182861,0.10726755112409592,0.047481995075941086,AB,2023.0
0.03311806917190552,0.1587381511926651,0.8081437349319458,ABB,2022.0
0.01903584413230419,0.9194821715354919,0.061481911689043045,ABBV,2022.0
0.014407454989850521,0.7518318891525269,0.23376062512397766,ABBV,2023.0
0.014335844665765762,0.894860565662384,0.0908036082983017,ABC,2022.0
0.012585785239934921,0.9085302352905273,0.07888393849134445,ABC,2023.0
0.02190088853240013,0.8801894783973694,0.09790964424610138,ABCB,2022.0
0.01365883368998766,0.8945474624633789,0.09179368615150452,ABCL,2022.0
0.02001253142952919,0.9481569528579712,0.03183051198720932,ABCM,2022.0
0.019108150154352188,0.9411629438400269,0.039728835225105286,ABEO,2022.0
0.048803143203258514,0.9261302351951599,0.025066662579774857,ABEV,2022.0
0.04749833792448044,0.9317336082458496,0.020768117159605026,ABEV,2023.0
0.021789981052279472,0.9321828484535217,0.04602722078561783,ABG,2022.0
0.023127969354391098,0.9465174078941345,0.030354630202054977,ABG,2023.0
0.032401200383901596,0.9421667456626892,0.025432035326957703,ABM,2022.0
0.020957570523023605,0.8598678112030029,0.11917463690042496,ABM,2023.0
0.012438957579433918,0.7562196254730225,0.2313414216041565,ABMD,2022.0
0.01610158011317253,0.7380828261375427,0.24581559002399445,ABMD,2023.0
0.018194375559687614,0.9063802361488342,0.0754254013299942,ABNB,2022.0
0.018012112006545067,0.9374816417694092,0.04450630024075508,ABOS,2022.0
0.011755526065826416,0.11762543767690659,0.8706190586090088,ABR,2022.0
0.012711222283542156,0.7182950973510742,0.26899364590644836,ABR,2023.0
0.011312834918498993,0.12108153849840164,0.8676056265830994,ABST,2022.0
0.014624024741351604,0.8983269929885864,0.08704894781112671,ABST,2023.0
0.026172811165452003,0.9457046985626221,0.02812250144779682,ABT,2022.0
0.024614162743091583,0.9438959360122681,0.03148987516760826,ABT,2023.0
0.012148682028055191,0.9095975756645203,0.07825378328561783,ABTX,2022.0
0.011375428177416325,0.7707092761993408,0.21791523694992065,ABUS,2022.0
0.015080498531460762,0.8328909873962402,0.15202853083610535,ACA,2022.0
0.013929455541074276,0.847524106502533,0.1385463923215866,ACA,2023.0
0.017200415953993797,0.9323697686195374,0.05042986199259758,ACAD,2022.0
0.010497704148292542,0.7602724432945251,0.2292298674583435,ACB,2022.0
0.017228322103619576,0.9360862970352173,0.04668541997671127,ACB,2023.0
0.010135922580957413,0.6334577202796936,0.35640642046928406,ACCD,2022.0
0.014889717102050781,0.9259830117225647,0.05912727862596512,ACCD,2023.0
0.03116028942167759,0.9165815114974976,0.0522582083940506,ACCO,2022.0
0.01604103296995163,0.8832894563674927,0.1006694883108139,ACEL,2022.0
0.015175694599747658,0.7950875759124756,0.1897367238998413,ACEL,2023.0
0.016538815572857857,0.9122660160064697,0.07119517028331757,ACGL,2022.0
0.029361501336097717,0.9341300129890442,0.03650851920247078,ACHC,2022.0
0.016247252002358437,0.9311208128929138,0.05263197422027588,ACHR,2022.0
0.017093071714043617,0.9408199191093445,0.04208705201745033,ACHR,2023.0
0.04498566314578056,0.05675039067864418,0.8982639908790588,ACHV,2022.0
0.013993254862725735,0.7501949667930603,0.23581178486347198,ACI,2022.0
0.008549869060516357,0.15515311062335968,0.8362970352172852,ACIW,2022.0
0.012530239298939705,0.5593653321266174,0.4281045198440552,ACLS,2022.0
0.05911992862820625,0.9224137663841248,0.018466297537088394,ACM,2022.0
0.013469835743308067,0.9268411993980408,0.05968897044658661,ACM,2023.0
0.027896586805582047,0.9477291107177734,0.024374306201934814,ACMR,2022.0
0.01862630806863308,0.9384995102882385,0.04287418723106384,ACN,2022.0
0.015669362619519234,0.9183908700942993,0.06593979150056839,ACN,2023.0
0.9414500594139099,0.03528633341193199,0.02326364256441593,ACOR,2022.0
0.028441131114959717,0.9455690979957581,0.02598973736166954,ACR,2022.0
0.017256757244467735,0.9204446077346802,0.06229863315820694,ACRE,2022.0
0.019897760823369026,0.7462817430496216,0.23382052779197693,ACRE,2023.0
